,Glucose_input,Lactate_output,Glutamate_input,Ammonia_output
553,100.0,0.0,227.824,191.898
554,100.0,0.0,227.824,191.898
555,100.0,0.0,227.824,191.898
556,100.0,0.0,227.824,191.898
557,100.0,0.0,227.824,191.898
558,100.0,0.0,227.824,191.898
559,100.0,0.0,227.824,191.898
560,100.0,0.0,227.824,191.898
561,100.0,0.0,227.824,191.898
562,100.0,0.0,227.824,191.898
563,100.0,0.0,227.824,191.898
564,100.0,0.0,227.824,191.898
565,100.0,0.0,227.824,191.898
566,100.0,0.0,227.824,191.898
567,100.0,0.0,227.824,191.898
568,100.0,0.0,227.824,191.898
569,100.0,0.0,227.824,191.898
570,100.0,0.0,227.824,191.898
571,100.0,0.0,227.824,191.898
572,100.0,0.0,227.824,191.898
573,100.0,0.0,227.824,191.898
574,100.0,0.0,227.824,191.898
575,100.0,0.0,227.824,191.898
576,100.0,0.0,227.824,191.898
577,100.0,0.0,227.824,191.898
578,100.0,0.0,227.824,191.898
579,100.0,0.0,227.824,191.898
580,100.0,0.0,227.824,191.898
581,100.0,0.0,227.824,191.898
582,100.0,0.0,227.824,191.898
583,100.0,0.0,227.824,191.898
584,100.0,0.0,227.824,191.898
585,100.0,0.0,227.824,191.898
586,100.0,0.0,227.824,191.898
587,100.0,0.0,227.824,191.898
588,100.0,0.0,227.824,191.898
589,100.0,0.0,227.824,191.898
590,100.0,0.0,227.824,191.898
591,100.0,0.0,227.824,191.898
592,100.0,0.0,227.824,191.898
593,100.0,0.0,227.824,191.898
594,100.0,0.0,227.824,191.898
595,100.0,0.0,227.824,191.898
596,100.0,0.0,227.824,191.898
597,100.0,0.0,227.824,191.898
598,100.0,0.0,227.824,191.898
599,100.0,0.0,227.824,191.898
600,100.0,0.0,227.824,191.898
601,100.0,0.0,227.824,191.898
602,100.0,0.0,227.824,191.898
603,100.0,0.0,227.824,191.898
604,100.0,0.0,227.824,191.898
605,100.0,0.0,227.824,191.898
606,100.0,0.0,227.824,191.898
607,100.0,0.0,227.824,191.898
608,100.0,0.0,227.824,191.898
609,100.0,0.0,227.824,191.898
610,100.0,0.0,227.824,191.898
611,100.0,0.0,227.824,191.898
612,100.0,0.0,227.824,191.898
613,100.0,0.0,227.824,191.898
614,100.0,0.0,227.824,191.898
615,100.0,0.0,227.824,191.898
616,100.0,0.0,227.824,191.898
617,100.0,0.0,227.824,191.898
618,100.0,0.0,227.824,191.898
619,100.0,0.0,227.824,191.898
620,100.0,0.0,227.824,191.898
621,100.0,0.0,227.824,191.898
622,100.0,0.0,227.824,191.898
623,100.0,0.0,227.824,191.898
624,100.0,0.0,227.824,191.898
625,100.0,0.0,227.824,191.898
626,100.0,0.0,227.824,191.898
627,100.0,0.0,227.824,191.898
628,100.0,0.0,227.824,191.898
629,100.0,0.0,227.824,191.898
630,100.0,0.0,227.824,191.898
631,100.0,0.0,227.824,191.898
632,100.0,0.0,227.824,191.898
633,100.0,0.0,227.824,191.898
634,100.0,0.0,227.824,191.898
635,100.0,0.0,227.824,191.898
636,100.0,0.0,227.824,191.898
637,100.0,0.0,227.824,191.898
638,100.0,0.0,227.824,191.898
639,100.0,0.0,227.824,191.898
640,100.0,0.0,227.824,191.898
641,100.0,0.0,227.824,191.898
642,100.0,0.0,227.824,191.898
643,100.0,0.0,227.824,191.898
644,100.0,0.0,227.824,191.898
645,100.0,0.0,227.824,191.898
646,100.0,0.0,227.824,191.898
647,100.0,0.0,227.824,191.898
648,100.0,0.0,227.824,191.898
649,100.0,0.0,227.824,191.898
650,100.0,0.0,227.824,191.898
651,100.0,0.0,227.824,191.898
652,100.0,0.0,227.824,191.898
653,100.0,0.0,227.824,191.898
654,100.0,0.0,227.824,191.898
