,Glucose,Lac,Glutamate,Ammonia
544,1.0,0.0,7.019053053498859,0.0
545,1.0,0.0,7.019053053498859,0.0
546,1.0,0.0,7.019053053498859,0.0
547,1.0,0.0,7.019053053498859,0.0
548,1.0,0.0,7.019053053498859,0.0
549,1.0,0.0,7.019053053498859,0.0
550,1.0,0.0,7.019053053498859,0.0
551,1.0,0.0,7.019053053498859,0.0
552,1.0,0.0,7.019053053498859,0.0
553,1.0,0.0,7.019053053498859,0.0
554,1.0,0.0,7.019053053498859,0.0
555,1.0,0.0,7.019053053498859,0.0
556,1.0,0.0,7.019053053498859,0.0
557,1.0,0.0,7.019053053498859,0.0
558,1.0,0.0,7.019053053498859,0.0
559,1.0,0.0,7.019053053498859,0.0
560,1.0,0.0,7.019053053498859,0.0
561,1.0,0.0,7.019053053498859,0.0
562,1.0,0.0,7.019053053498859,0.0
563,1.0,0.0,7.019053053498859,0.0
564,1.0,0.0,7.019053053498859,0.0
565,1.0,0.0,7.019053053498859,0.0
566,1.0,0.0,7.019053053498859,0.0
567,1.0,0.0,7.019053053498859,0.0
568,1.0,0.0,7.019053053498859,0.0
569,1.0,0.0,7.019053053498859,0.0
570,1.0,0.0,7.019053053498859,0.0
571,1.0,0.0,7.019053053498859,0.0
572,1.0,0.0,7.019053053498859,0.0
573,1.0,0.0,7.019053053498859,0.0
574,1.0,0.0,7.019053053498859,0.0
575,1.0,0.0,7.019053053498859,0.0
576,1.0,0.0,7.019053053498859,0.0
577,1.0,0.0,7.019053053498859,0.0
578,1.0,0.0,7.019053053498859,0.0
579,1.0,0.0,7.019053053498859,0.0
580,1.0,0.0,7.019053053498859,0.0
581,1.0,0.0,7.019053053498859,0.0
582,1.0,0.0,7.019053053498859,0.0
583,1.0,0.0,7.019053053498859,0.0
584,1.0,0.0,7.019053053498859,0.0
585,1.0,0.0,7.019053053498859,0.0
586,1.0,0.0,7.019053053498859,0.0
587,1.0,0.0,7.019053053498859,0.0
588,1.0,0.0,7.019053053498859,0.0
589,1.0,0.0,7.019053053498859,0.0
590,1.0,0.0,7.019053053498859,0.0
591,1.0,0.0,7.019053053498859,0.0
592,1.0,0.0,7.019053053498859,0.0
593,1.0,0.0,7.019053053498859,0.0
594,1.0,0.0,7.019053053498859,0.0
595,1.0,0.0,7.019053053498859,0.0
596,1.0,0.0,7.019053053498859,0.0
597,1.0,0.0,7.019053053498859,0.0
598,1.0,0.0,7.019053053498859,0.0
599,1.0,0.0,7.019053053498859,0.0
600,1.0,0.0,7.019053053498859,0.0
601,1.0,0.0,7.019053053498859,0.0
602,1.0,0.0,7.019053053498859,0.0
603,1.0,0.0,7.019053053498859,0.0
604,1.0,0.0,7.019053053498859,0.0
605,1.0,0.0,7.019053053498859,0.0
606,1.0,0.0,7.019053053498859,0.0
607,1.0,0.0,7.019053053498859,0.0
608,1.0,0.0,7.019053053498859,0.0
609,1.0,0.0,7.019053053498859,0.0
610,1.0,0.0,7.019053053498859,0.0
611,1.0,0.0,7.019053053498859,0.0
612,1.0,0.0,7.019053053498859,0.0
613,1.0,0.0,7.019053053498859,0.0
614,1.0,0.0,7.019053053498859,0.0
615,1.0,0.0,7.019053053498859,0.0
616,1.0,0.0,7.019053053498859,0.0
617,1.0,0.0,7.019053053498859,0.0
618,1.0,0.0,7.019053053498859,0.0
619,1.0,0.0,7.019053053498859,0.0
620,1.0,0.0,7.019053053498859,0.0
621,1.0,0.0,7.019053053498859,0.0
622,1.0,0.0,7.019053053498859,0.0
